"","X","id","source","target142","cse142","cse143","target143","numAdmApplication","admitStatus","gender","ethnic","transfer","Q5b","Q5d","Q5e","Q5f","Q7a","Q8a","Q8c","Q8d","Q8e","Q8g","Q8i","Q9","Q11","GPA","stdmath","stdverbal","stdcomb","appscores","cse142firstclass","cse142grade","cse143firstclass","cse143grade"
"3089",3089,"e9fb151b-5436-5266-b1a2-1e5ca5ea3c95","student","CSE142",3,1,"NA143",1,"DNA","F","ASIAN",NA,4,3,1,1,4,5,4,4,5,4,4,1,1,3.15,580,520,1100,NA,3,0.8,NA,NA
"3090",3090,"ea00ac5d-ed04-5ece-b63a-f6923894a4f9","student","CSE142",2,2,"CSE143",1,"Accept","M","CAUCASN",NA,2,4,1,1,5,5,4,3,2,3,4,1,1,3.76,800,700,1500,4,2,3.9,2,3.7
"3091",3091,"ea1424ec-7f90-587b-968d-799684001b45","student","CSE142",1,2,"CSE143",1,"DNA","M","CAUCASN",NA,2,4,1,1,5,4,1,5,5,4,4,5,5,1.73,590,670,1260,NA,1,1.3,2,0
"3092",3092,"ea2dc6b7-cad5-5802-bd37-c5c890a0bfc4","student","CSE142",1,1,"NA143",1,"DNA","M","ASIAN",NA,2,3,3,2,3,3,3,3,3,3,NA,1,1,2.2,680,490,1170,NA,1,2.8,NA,NA
"3093",3093,"ea348e7d-3e6b-583b-8bce-222f4aa1d660","student","CSE142",2,3,"CSE143",3,"Deny","M","ASIAN",NA,1,3,1,1,5,3,3,4,3,2,2,2,1,3.22,650,570,1220,2,2,3.4,3,2.1
"3094",3094,"ea40581e-a875-5cd7-a000-c85726d23e0c","student","CSE142",2,1,"NA143",1,"DNA","F","ASIAN",NA,3,3,1,1,3,5,4,4,5,3,1,1,1,3.55,650,540,1190,NA,2,3.3,NA,NA
"3095",3095,"ea40ea9e-716d-53bc-afc6-c710441101e9","student","CSE142",1,1,"CSE143",1,"DNA","M","NOT IND",NA,1,4,1,1,5,5,5,5,4,2,2,1,2,3.54,800,560,1360,NA,1,3.5,1,3.7
"3096",3096,"ea76f2d2-999d-58a4-b9d0-5b5027838073","student","CSE142",2,3,"CSE143",1,"DNA","M","NOT IND",NA,2,3,3,3,2,4,4,4,4,4,4,1,1,3.64,800,480,1280,NA,2,3.2,3,3
"3097",3097,"ea77f491-0b7a-5050-b0ac-b5ae46c7d67e","student","CSE142",1,1,"CSE143",1,"DNA","M","CAUCASN",NA,1,4,1,1,5,5,3,5,4,4,1,6,2,2.83,610,780,1390,NA,1,2.8,1,1.9
"3098",3098,"ea7e0aad-972f-59ab-9039-e5d5e29affb7","student","CSE142",2,2,"CSE143",1,"DNA","M","CAUCASN",NA,1,4,1,1,2,3,3,4,3,4,1,2,1,2.14,595,NA,NA,NA,2,2,2,0.7
"3099",3099,"ea8128f0-ff69-5b4a-bf28-3dc1261d7027","student","CSE142",1,1,"NA143",1,"DNA","M","CAUCASN",NA,2,4,3,1,5,5,4,5,4,3,1,1,2,3.77,790,650,1440,NA,1,3.2,NA,NA
"3100",3100,"eab755e9-f566-5bab-8265-44b3989c3ec7","student","CSE142",1,2,"CSE143",1,"DNA","M","NOT IND",NA,3,4,2,2,5,4,5,2,5,4,2,1,1,3.33,770,500,1270,NA,1,3.8,2,3.4
"3101",3101,"eab8cfd0-22fd-5aa3-b0a5-3064b401ac9c","student","CSE142",3,1,"NA143",1,"DNA","M","NOT IND",NA,3,1,3,1,2,4,5,5,5,4,4,1,1,3.78,NA,630,NA,NA,3,NA,NA,NA
"3102",3102,"eabb52bf-3fb1-5345-8f9b-55804a9e6a0b","student","CSE142",1,1,"NA143",1,"DNA","F","CAUCASN",NA,3,4,1,1,5,5,3,4,4,2,2,1,2,3.35,740,670,1410,NA,1,3.6,NA,NA
"3103",3103,"eaeb0ac3-a860-5b85-ad12-a443400683f5","student","CSE142",2,3,"CSE143",1,"DNA","F","ASIAN",NA,4,4,4,1,4,5,2,5,4,4,2,1,1,3.8,630,630,1260,NA,2,3.5,3,3.2
